State,District,District code,Latitude,Longitude,Population,Housholds_with_Electric_Lighting,Households_with_Internet,Sex_Ratio,Litrecay_Ratio
Uttar Pradesh,Ambedkar Nagar,178,26.39119025974028,82.68282142857147,2397888,99581,2509,100.0,60.0
Uttar Pradesh,Sultanpur,179,26.2846386419753,82.05710456790123,3797117,233701,5956,100.0,60.0
Uttar Pradesh,Bahraich,180,27.691776300578027,81.46779783237004,3487731,85814,2681,90.0,40.0
Uttar Pradesh,Balrampur,182,27.449076537911324,82.47158326180256,2148665,57400,1551,90.0,40.0
Uttar Pradesh,Gonda,183,27.157215552099505,82.0226888024882,3433919,104084,4313,90.0,50.0
Uttar Pradesh,Basti,185,26.833880454545447,82.69790590909092,2464464,108101,3423,100.0,60.0
Uttar Pradesh,Sant Kabir Nagar,186,26.791596516393444,83.0387764344262,1715183,79525,2031,100.0,60.0
Uttar Pradesh,Gorakhpur,188,26.63315886792452,83.3549560377358,4440895,296619,14597,90.0,60.0
Uttar Pradesh,Kushinagar,189,26.892530675909864,83.92261542461007,3564544,127331,3486,100.0,50.0
Uttar Pradesh,Deoria,190,26.42218856548857,83.8244070686071,3100946,150001,4469,100.0,60.0
Uttar Pradesh,Azamgarh,191,26.008290954773837,83.01220251256285,4613913,183381,6652,100.0,60.0
Uttar Pradesh,Mau,192,26.01082203791469,83.50582654028433,2205968,149908,2656,100.0,60.0
Uttar Pradesh,Ballia,193,25.86075638297873,84.03651978723408,3239774,119972,4672,90.0,60.0
Uttar Pradesh,Jaunpur,194,25.70141280913127,82.54315351934063,4494204,181467,8002,100.0,60.0
Uttar Pradesh,Ghazipur,195,25.624724775583484,83.5360854578097,3620268,105767,5309,100.0,60.0
Uttar Pradesh,Chandauli,196,25.1180859611231,83.25307062634984,1952756,99602,3492,90.0,60.0
Uttar Pradesh,Varanasi,197,25.36057088888889,82.82529666666672,3676841,336056,19214,90.0,70.0
Uttar Pradesh,Mirzapur,199,25.10207959183675,82.60126628571429,2496970,145997,4447,90.0,60.0
Uttar Pradesh,Sonbhadra,200,24.46693268858798,83.06816324951639,1862559,95582,5149,90.0,50.0
Uttar Pradesh,Etah,201,27.591155309734443,78.70021858407083,1774480,69591,2635,90.0,60.0
Bihar,Pashchim Champaran,203,27.16064352201258,84.30265911949685,3935042,57546,3495,90.0,40.0
Bihar,Purba Champaran,204,26.68129336734693,85.00382155612242,5099371,74979,7719,90.0,40.0
Bihar,Sheohar,205,26.458380748663107,85.29539411764709,656246,10004,478,90.0,40.0
Bihar,Sitamarhi,206,26.56570069686413,85.61172491289203,3423574,66263,3460,90.0,40.0
Bihar,Madhubani,207,26.41380538172716,86.16328360450552,4487379,113281,5319,90.0,50.0
Bihar,Supaul,208,26.28157893772896,86.78496465201461,2229076,51028,1845,90.0,50.0
